#META
name = Problem 3
k = 680
N = 50
#NODES
1  (42.34,61.53)    (3,7)  
2  (97.55,25.38)    (5,26)  
3  (27.28,82.38)    (16,25)  
4  (33.44,87.47)    (13,15)  
5  (21.91,86.21)    (15,20)  
6  (32.29,83.3)    (26,31)  
7  (26.63,82.84)    (4,10)  
8  (33.23,85.31)    (36,29)  
9  (40.36,74.2)    (30,25)  
10  (26.18,89.4)    (9,17)  
11  (25.05,95.63)    (25,32)  
12  (69,0)    (14,41)  
13  (66.47,3.98)    (8,22)  
14  (69.69,6.27)    (26,44)  
15  (77.85,1.26)    (39,5)  
16  (66.34,5.25)    (32,34)  
17  (62.26,6.54)    (19,48)  
18  (70.73,0)    (16,31)  
19  (61.7,4.9)    (7,38)  
20  (65.05,9.57)    (49,50)  
21  (65.73,4.85)    (18,39)  
22  (71.68,0.76)    (41,59)  
23  (74.5,7.12)    (25,38)  
24  (54.29,59.85)    (39,46)  
25  (31.89,67.74)    (25,29)  
26  (42.39,70.04)    (16,42)  
27  (37.21,75.52)    (17,42)  
28  (49.84,60.45)    (24,28)  
29  (48.25,61.11)    (21,28)  
30  (52.87,58.37)    (26,29)  
31  (43.24,56.06)    (24,27)  
32  (41.86,56.74)    (44,49)  
33  (19.04,43.95)    (43,47)  
34  (4.77,52.8)    (34,51)  
35  (0,52.37)    (18,39)  
36  (4.07,47.09)    (6,13)  
37  (0.24,49.72)    (44,66)  
38  (14.33,48.05)    (46,47)  
39  (4.36,49.54)    (10,27)  
40  (7.01,47.05)    (23,27)  
41  (5.76,60.81)    (18,44)  
42  (87.15,29.11)    (8,38)  
43  (100,20.39)    (7,6)  
44  (87.48,18.18)    (5,6)  
45  (98.22,33.74)    (47,60)  
46  (100,26.35)    (38,44)  
47  (91.58,20.93)    (19,27)  
48  (97.95,25.78)    (30,49)  
49  (96.64,14.48)    (33,37)  
50  (99.04,24)    (40,23)  
#EOF
