#META
name = Problem 5
k = 1857000
N = 4461
#NODES
1  (5639,6909)    (1,1000)  
2  (5652,6142)    (1,101)  
3  (5654,6101)    (2,202)  
4  (5659,6910)    (4,404)  
5  (5659,6920)    (2,202)  
6  (5661,6182)    (896,996)  
7  (5663,6830)    (1792,1992)  
8  (5669,6213)    (3584,3984)  
9  (5670,6425)    (367,467)  
10  (5671,6870)    (734,934)  
11  (5673,6132)    (1468,1868)  
12  (5682,6840)    (690,790)  
13  (5690,6891)    (690,790)  
14  (5694,6801)    (613,713)  
15  (5698,6265)    (1226,1426)  
16  (5698,6952)    (2452,2852)  
17  (5701,6184)    (874,974)  
18  (5701,6407)    (874,974)  
19  (5712,6154)    (122,222)  
20  (5716,6296)    (244,444)  
21  (5720,6438)    (488,888)  
22  (5722,6397)    (366,666)  
23  (5722,6873)    (486,586)  
24  (5730,6458)    (972,1172)  
25  (5731,6893)    (972,1172)  
26  (5736,6317)    (823,923)  
27  (5737,6064)    (823,923)  
28  (5738,6034)    (463,563)  
29  (5738,6267)    (926,1126)  
30  (5740,5984)    (463,563)  
31  (5741,6206)    (589,689)  
32  (5741,6418)    (1178,1378)  
33  (5744,6368)    (1178,1378)  
34  (5744,6823)    (325,425)  
35  (5746,6783)    (650,850)  
36  (5748,6490)    (1300,1700)  
37  (5748,6965)    (975,1275)  
38  (5749,6944)    (1000,1100)  
39  (5750,6227)    (2000,2200)  
40  (5756,6308)    (4000,4400)  
41  (5758,6733)    (776,876)  
42  (5761,6440)    (1552,1752)  
43  (5762,6187)    (2328,2628)  
44  (5763,6389)    (123,223)  
45  (5774,6127)    (356,456)  
46  (5776,6319)    (305,405)  
47  (5776,6774)    (610,810)  
48  (5777,6289)    (1220,1620)  
49  (5779,6026)    (305,405)  
50  (5780,6916)    (47,147)  
51  (5783,6168)    (94,294)  
52  (5784,6137)    (188,588)  
53  (5788,6744)    (645,745)  
54  (5789,6249)    (1290,1490)  
55  (5790,5996)    (2580,2980)  
56  (5797,6077)    (1290,1490)  
57  (5799,6482)    (139,239)  
58  (5799,6957)    (247,347)  
59  (5800,6472)    (494,694)  
60  (5802,6411)    (988,1388)  
61  (5804,6836)    (741,1041)  
62  (5805,6350)    (211,311)  
63  (5806,6563)    (422,622)  
64  (5808,6047)    (844,1244)  
65  (5810,6229)    (633,933)  
66  (5813,6159)    (100,200)  
67  (5817,6311)    (200,400)  
68  (5818,6988)    (400,800)  
69  (5820,6472)    (100,200)  
70  (5822,6200)    (627,727)  
71  (5822,6432)    (1254,1454)  
72  (5822,6877)    (1254,1454)  
73  (5825,6594)    (760,860)  
